Close,return,P/E,β,empty_Close,empty_return,empty_P/E,empty_β
56.76,0.0133884,0.000235887,0.040168619,0.0,0.0,0.0,0.0
57.52,0.0262507,0.000456355,0.040095949,0.0,0.0,0.0,0.0
59.05,-0.0014404,-2.43924E-05,0.039999055,0.0,0.0,0.0,0.0
58.97,-0.0023345,-3.95899E-05,0.039784285,0.0,0.0,0.0,0.0
58.83,-0.0040452,-6.87613E-05,0.039804514,0.0,0.0,0.0,0.0
58.59,0.0038752,6.61387E-05,0.039738444,0.0,0.0,0.0,0.0
58.82,0.0047913,8.14568E-05,0.038402207,0.0,0.0,0.0,0.0
59.10,0.0171941,0.00029092,0.038381449,0.0,0.0,0.0,0.0
60.13,-0.0022894,-3.80762E-05,0.037851883,0.0,0.0,0.0,0.0
59.99,0.0133297,0.000222198,0.037800598,0.0,0.0,0.0,0.0
60.80,0.0016435,2.70338E-05,0.03679409,0.0,0.0,0.0,0.0
60.90,0.0122411,0.000201019,0.036285017,0.0,0.0,0.0,0.0
61.65,0.0099672,0.000161687,0.035481794,0.0,0.0,0.0,0.0
62.26,-0.0233995,-0.000375821,0.035248697,0.0,0.0,0.0,0.0
60.82,-0.0001233,-2.02749E-06,0.033597744,0.0,0.0,0.0,0.0
60.82,0.0223577,0.000367635,0.033071789,0.0,0.0,0.0,0.0
62.19,0.0279855,0.00045,0.032615748,0.0,0.0,0.0,0.0
63.96,0.0065456,0.000102348,0.032322733,0.0,0.0,0.0,0.0
64.38,-0.0014379,-2.23367E-05,0.032251514,0.0,0.0,0.0,0.0
64.28,0.0004277,6.65356E-06,0.032479304,0.0,0.0,0.0,0.0
64.31,0.0084774,0.000131821,0.03234129,0.0,0.0,0.0,0.0
64.86,0.002733,4.2139E-05,0.032307881,0.0,0.0,0.0,0.0
65.04,0.0078876,0.000121283,0.032147419,0.0,0.0,0.0,0.0
65.55,-0.0009158,-1.39703E-05,0.032629815,0.0,0.0,0.0,0.0
